"Object Count","Layer Name","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"138","centres","","30aa8309-4709-4f18-9b29-b8c8ba5a5926","point","15343.945105,22031.949980,0.000000","","","",""
"139","centres","","30d458b5-76cb-4809-9d0f-d727163f4e4d","point","19036.115003,20919.478497,0.000000","","","",""
"140","centres","","311e96b3-b726-4936-ac05-d67c777e2b17","point","18804.502320,20660.460573,0.000000","","","",""
"141","centres","","318d4ee0-cbdf-4d94-9e36-a9d7b70f848b","point","15672.327781,21247.184954,0.000000","","","",""
"142","centres","","31d78387-7558-4c97-a5eb-e2c83d2758d2","point","15382.582882,20915.491674,0.000000","","","",""
"143","centres","","32461419-d531-4844-aeb0-dc41c7e9c456","point","16105.315046,20426.156835,0.000000","","","",""
"144","centres","","3256245f-0d76-4880-8b36-e7965a34a6b6","point","17442.161011,19517.890856,0.000000","","","",""
"145","centres","","327d4ed0-4182-4915-99fd-979c07524515","point","18803.284908,21349.272066,0.000000","","","",""
"146","centres","","32ad36f6-c293-4554-b2e3-de0787e16a5f","point","15807.601590,20980.895524,0.000000","","","",""
"147","centres","","32fa7a81-f1f3-448f-bd34-81aa4d411de3","point","14944.128818,21510.942366,0.000000","","","",""
"148","centres","","3313f1c1-9226-4638-9eb9-0682c9153953","point","18715.995970,21114.293826,0.000000","","","",""
"149","centres","","335ed386-8622-4a17-b15b-12a4e50fe1e7","point","18195.066381,21453.253027,0.000000","","","",""
"150","centres","","33890831-933f-4115-a3c6-42e1634656b1","point","14744.568248,21873.945793,0.000000","","","",""
"151","centres","","3451610e-a797-4bde-ad7c-adb7c6b4253e","point","15823.742475,20178.861951,0.000000","","","",""
"152","centres","","34a299f3-e6f1-4eb6-bceb-4082dc9cad01","point","15698.268337,20417.711172,0.000000","","","",""
"153","centres","","34d214b6-8dd5-49b5-8920-8af526620326","point","18027.583078,21074.189946,0.000000","","","",""
"154","centres","","34fcee44-d329-4d6b-aa5c-7e351598aecf","point","18530.558965,20933.809427,0.000000","","","",""
"155","centres","","35558aa3-46f2-45d4-bbd0-45c973eda60c","point","18377.364393,20872.402463,0.000000","","","",""
"156","centres","","35578995-783c-4a37-be43-a7707ce246f0","point","16265.559861,20298.565676,0.000000","","","",""
"157","centres","","359af774-282d-4484-a69f-cf6f3be6de1d","point","16930.895048,19831.561354,0.000000","","","",""
"158","centres","","35b6a77e-fa6d-4557-944f-b402c8ce2f62","point","15959.478241,20062.191086,0.000000","","","",""
"159","centres","","35f982f6-9ee5-4f2d-b8b8-287e9a458f43","point","17126.684125,20457.881150,0.000000","","","",""
"160","centres","","363cbbd9-2a47-4b96-8bf7-645a02375f5a","point","17793.648983,20781.939439,0.000000","","","",""
"161","centres","","368d8b41-0cd7-4eaa-a867-544189d0d922","point","17250.614842,19370.467147,0.000000","","","",""
"162","centres","","36962905-6a92-4205-913e-5680e24f7ae7","point","15251.515049,20852.645037,0.000000","","","",""
"163","centres","","369bf895-1d2a-4b7c-ac69-e5fd92df1ae6","point","18608.951682,21243.788005,0.000000","","","",""
"164","centres","","3798b556-500b-42d3-846a-dcfb32c959bd","point","15047.384898,21888.864539,0.000000","","","",""
"165","centres","","37b7cb79-f9b8-494c-a57b-bd197ae093da","point","15962.227356,19796.893417,0.000000","","","",""
"166","centres","","37f3e2c3-3351-40d3-95e3-ddbe837ad1bb","point","16478.946642,19746.935214,0.000000","","","",""
"167","centres","","38650b27-b346-4801-b76d-01b42f4b2198","point","16555.699699,19761.201816,0.000000","","","",""
"168","centres","","387e3fc7-f5b8-4c7f-b419-c8d18056af74","point","18554.305163,21009.712743,0.000000","","","",""
"169","centres","","38a85a8d-0dd7-4ffb-99ac-9cede41c0ae4","point","15738.667696,19035.899555,0.000000","","","",""
"170","centres","","38d192d5-2b3f-4ad1-b2b2-0a55bb4d7bb7","point","16820.910982,19810.501342,0.000000","","","",""
"171","centres","","39c96f7e-d93c-466e-b42d-47875e02faaa","point","15892.554676,20036.902095,0.000000","","","",""
"172","centres","","3a74fc2c-e8a5-4400-a563-6fe6b5537792","point","15873.221515,19403.756279,0.000000","","","",""
"173","centres","","3b09608c-77e4-489a-9f2f-92e95d6a28da","point","17482.430211,21017.406199,0.000000","","","",""
"174","centres","","3bf47807-4ff5-44a0-b463-8cce3b1ac86c","point","16013.737437,19080.346866,0.000000","","","",""
"175","centres","","3bf758f5-0377-460c-a36b-2a6c6b9f9d2a","point","16092.154196,19335.843717,0.000000","","","",""
"176","centres","","3c63d7fa-edf7-4ed0-82cf-c59bfead4596","point","15455.106447,21104.856330,0.000000","","","",""
"177","centres","","3ca6decf-4dc5-4998-8dcc-f51b24b745df","point","18711.025353,21279.340589,0.000000","","","",""
"178","centres","","3cad87e7-3de7-4c2b-8f25-3b067acd1e0d","point","15761.760810,21234.902863,0.000000","","","",""
"179","centres","","3cb22d66-9c8b-4d7a-a053-b6a8f6b152b4","point","17993.126763,21742.803733,0.000000","","","",""
"180","centres","","3db472f3-78e3-43b3-8e2f-1127a944d395","point","16353.778645,19362.862511,0.000000","","","",""
"181","centres","","3e0ed342-47ec-4857-a40c-2876f29a573e","point","17397.944566,21505.208927,0.000000","","","",""
"182","centres","","3e1b0715-c59d-4fd1-8d15-3e5ba18c59eb","point","17910.104491,20455.580793,0.000000","","","",""
"183","centres","","3e408cbb-3229-474f-a71a-4255d419a584","point","16298.998078,19320.382970,0.000000","","","",""
"184","centres","","3eb7c8a2-62c9-4553-a2f0-e097ea78369a","point","15835.412566,20002.109979,0.000000","","","",""
"185","centres","","3f4fdfa1-df5d-43cf-8d16-05941cbb580b","point","15187.669281,21558.284540,0.000000","","","",""
"186","centres","","3f6178bd-2265-40f5-9351-e2d360e699d7","point","14518.029890,21240.372421,0.000000","","","",""
"187","centres","","3fcda47f-39d9-491d-ac4b-8cca8c2dde16","point","17802.891019,21241.534811,0.000000","","","",""
"188","centres","","403d25aa-e1fc-49eb-adb2-6b0d5e119386","point","17200.492016,19818.481826,0.000000","","","",""
"189","centres","","404c4aba-1be9-447d-988a-f5add41e4d61","point","15063.663456,21730.215269,0.000000","","","",""
"190","centres","","40920688-0ef5-4222-ad0a-d18da6cd5826","point","15130.828874,22065.625586,0.000000","","","",""
"191","centres","","40ec6c93-18ae-45e5-a1bf-55031cfa5469","point","18730.368835,20635.247376,0.000000","","","",""
"192","centres","","41922f4b-fb7f-4851-b284-1ff58ef53710","point","17993.918571,19810.949268,0.000000","","","",""
"193","centres","","41b67df0-2554-47a8-bffe-2f0719c9fc88","point","15918.730227,20787.539938,0.000000","","","",""
"194","centres","","41bc942d-0fa0-4b1b-9461-b21dec1c2b0a","point","15268.849527,21380.734368,0.000000","","","",""
"195","centres","","41c56bda-2a28-490d-bbff-90e7c9d7847f","point","17332.187293,21231.232985,0.000000","","","",""
"196","centres","","41ed247b-ddce-42fe-a079-f363262c97d9","point","15421.982181,21058.077254,0.000000","","","",""
"197","centres","","425aa035-e530-4445-8543-57e8c1d8e98f","point","15692.968032,20206.415870,0.000000","","","",""
"198","centres","","42aa5c60-e488-46b4-89f6-a141cd9b693c","point","16041.473359,19835.801102,0.000000","","","",""
"199","centres","","433f7601-f2ed-43bd-9b03-0b05f83ddb4e","point","18028.972833,21383.475706,0.000000","","","",""
"200","centres","","43981f18-bfed-452a-81b3-f1f5e7fd94e6","point","17920.185257,20406.694538,0.000000","","","",""
"201","centres","","444197dd-1a23-4cd0-9ac8-186bd634f1c6","point","19067.736658,20861.978419,0.000000","","","",""
"202","centres","","44bef87f-edd7-4361-868a-bb24ae64f5ad","point","17482.160943,20650.746911,0.000000","","","",""
"203","centres","","45426320-6b95-444e-b23c-6b750ec04a45","point","16364.861625,19959.862547,0.000000","","","",""
"204","centres","","455417ac-558a-4604-8742-ceb8d9a72bb8","point","17045.720072,20195.378881,0.000000","","","",""
"205","centres","","455ada83-4170-44d6-b170-2a9b2239e242","point","18675.789641,21704.633772,0.000000","","","",""
"206","centres","","456d1929-06f6-4fdc-b824-21ea13283904","point","17839.295787,21545.541421,0.000000","","","",""
